path,top_dir,ext,size_bytes,mtime_local,review_status,notes
docs/旺商聊API深度测试报告.md,docs,.md,19459,2026-01-09 04:59:27,deleted,deleted_test_files
docs/旺商聊完整API清单.md,docs,.md,30006,2026-01-09 04:10:13,indexed,noncore_indexed
docs/旺商聊群聊设置完整API文档.md,docs,.md,29662,2026-01-08 09:27:12,indexed,noncore_indexed
docs/旺商聊逆向分析文档.md,docs,.md,14100,2026-01-08 07:31:31,indexed,noncore_indexed
docs/源代码搜索指南.md,docs,.md,11034,2026-01-08 07:16:09,indexed,noncore_indexed
docs/算账设置功能深度分析报告.md,docs,.md,36199,2026-01-08 21:59:57,indexed,noncore_indexed
EasyHook/COMClassInfo.cs,EasyHook,.cs,17593,2026-01-07 19:22:33,pending,
EasyHook/Config.cs,EasyHook,.cs,15327,2026-01-07 19:22:33,pending,
EasyHook/Debugging.cs,EasyHook,.cs,7836,2026-01-07 19:22:33,pending,
EasyHook/DllImport.cs,EasyHook,.cs,35654,2026-01-07 19:22:33,pending,
EasyHook/Domain/DomainIdentifier.cs,EasyHook,.cs,2786,2026-01-07 19:22:33,pending,
EasyHook/EasyHook.csproj,EasyHook,.csproj,7483,2026-01-07 19:22:33,pending,
EasyHook/ExecuteAsService.xml,EasyHook,.xml,3341,2026-01-07 19:22:33,indexed,noncore_indexed
EasyHook/FileMonHost.xml,EasyHook,.xml,3478,2026-01-07 19:22:33,indexed,noncore_indexed
EasyHook/FileMonInject.xml,EasyHook,.xml,6051,2026-01-07 19:22:33,indexed,noncore_indexed
EasyHook/GACWrap.cs,EasyHook,.cs,38901,2026-01-07 19:22:33,pending,
EasyHook/HelperServiceInterface.cs,EasyHook,.cs,5378,2026-01-07 19:22:33,pending,
EasyHook/InjectionLoader.cs,EasyHook,.cs,21130,2026-01-07 19:22:33,pending,
EasyHook/IPC/-DummyCore.cs,EasyHook,.cs,713,2026-01-07 19:22:33,pending,
EasyHook/IPC/ChannelProperties.cs,EasyHook,.cs,9342,2026-01-07 19:22:33,pending,
EasyHook/IPC/ConnectionManager.cs,EasyHook,.cs,7920,2026-01-07 19:22:33,pending,
EasyHook/IPC/DomainConnectionEndPoint.cs,EasyHook,.cs,2549,2026-01-07 19:22:33,pending,
EasyHook/IPC/DuplexChannel.cs,EasyHook,.cs,12603,2026-01-07 19:22:33,pending,
EasyHook/IPC/DuplexChannelEndPointObject.cs,EasyHook,.cs,5536,2026-01-07 19:22:33,pending,
EasyHook/IPC/DuplexChannelReadyEventHandler.cs,EasyHook,.cs,1172,2026-01-07 19:22:33,pending,
EasyHook/IPC/DuplexChannelState.cs,EasyHook,.cs,1676,2026-01-07 19:22:33,pending,
EasyHook/IPC/EndPointConfigurationData.cs,EasyHook,.cs,3624,2026-01-07 19:22:33,pending,
EasyHook/IPC/EndPointObject.cs,EasyHook,.cs,2382,2026-01-07 19:22:33,pending,
EasyHook/IPC/SimplexChannel.cs,EasyHook,.cs,5512,2026-01-07 19:22:33,pending,
EasyHook/LocalHook.cs,EasyHook,.cs,36771,2026-01-07 19:22:33,pending,
EasyHook/Properties/AssemblyInfo.cs,EasyHook,.cs,2801,2026-01-07 19:22:33,pending,
EasyHook/RemoteHook.cs,EasyHook,.cs,52016,2026-01-07 19:22:33,pending,
EasyHook/ServiceMgmt.cs,EasyHook,.cs,4631,2026-01-07 19:22:33,pending,
EasyHook/StrongName.snk,EasyHook,.snk,1172,2026-01-07 19:22:33,pending,
EasyHook/WOW64Bypass.cs,EasyHook,.cs,4470,2026-01-07 19:22:33,pending,
EasyHookTestCert.cer,EasyHookTestCert.cer,.cer,527,2026-01-07 19:22:33,pending,
Examples/ChatAutoBot/ChatAutoBot.csproj,Examples,.csproj,2732,2026-01-07 19:22:33,pending,
Examples/ChatAutoBot/ElectronInjector.cs,Examples,.cs,43045,2026-01-07 19:22:33,pending,
Examples/ChatAutoBot/Program.cs,Examples,.cs,40032,2026-01-07 19:22:33,pending,
Examples/ChatAutoBot/Properties/AssemblyInfo.cs,Examples,.cs,596,2026-01-07 19:22:33,pending,
Examples/ChatAutoBot/启动调试模式.bat,Examples,.bat,1382,2026-01-07 19:22:33,indexed,noncore_indexed
Examples/ChatAutoBotInject/ChatAutoBotInject.csproj,Examples,.csproj,2411,2026-01-07 19:22:33,pending,
Examples/ChatAutoBotInject/EntryPoint.cs,Examples,.cs,22983,2026-01-07 19:22:33,pending,
Examples/ChatAutoBotInject/Hooks/MessageParser.cs,Examples,.cs,13839,2026-01-07 19:22:33,pending,
Examples/ChatAutoBotInject/Properties/AssemblyInfo.cs,Examples,.cs,599,2026-01-07 19:22:33,pending,
Examples/ChatAutoBotInterface/ChatAutoBotInterface.csproj,Examples,.csproj,1987,2026-01-07 19:22:33,pending,
Examples/ChatAutoBotInterface/IpcInterface.cs,Examples,.cs,9844,2026-01-07 19:22:33,pending,
Examples/ChatAutoBotInterface/Properties/AssemblyInfo.cs,Examples,.cs,608,2026-01-07 19:22:33,pending,
explore_all_fields.ps1,explore_all_fields.ps1,.ps1,23756,2026-01-08 03:35:01,indexed,noncore_indexed
explore_cdp.js,explore_cdp.js,.js,28033,2026-01-08 03:48:33,indexed,noncore_indexed
explore_custom_msg.js,explore_custom_msg.js,.js,9007,2026-01-08 07:39:07,indexed,noncore_indexed
explore_decrypt.js,explore_decrypt.js,.js,11660,2026-01-08 06:31:05,indexed,noncore_indexed
explore_decrypt_all.js,explore_decrypt_all.js,.js,10773,2026-01-08 07:38:58,indexed,noncore_indexed
explore_decrypt_nick.js,explore_decrypt_nick.js,.js,15506,2026-01-08 06:53:50,indexed,noncore_indexed
